temp	step	file	lines	status
GRPO-Llama8B-math-temp-0	step-0	artifacts/results/GRPO-Llama8B-math-temp-0/step-0/step0000_test.jsonl	4000	ok
GRPO-Llama8B-math-temp-0	step-50	artifacts/results/GRPO-Llama8B-math-temp-0/step-50/step0050_test.jsonl	4000	ok
GRPO-Llama8B-math-temp-0	step-100	artifacts/results/GRPO-Llama8B-math-temp-0/step-100/step0100_test.jsonl	4000	ok
GRPO-Llama8B-math-temp-0	step-150	artifacts/results/GRPO-Llama8B-math-temp-0/step-150/step0150_test.jsonl	4000	ok
GRPO-Llama8B-math-temp-0	step-200	artifacts/results/GRPO-Llama8B-math-temp-0/step-200/step0200_test.jsonl	4000	ok
GRPO-Llama8B-math-temp-0	step-250	artifacts/results/GRPO-Llama8B-math-temp-0/step-250/step0250_test.jsonl	4000	ok
GRPO-Llama8B-math-temp-0	step-300	artifacts/results/GRPO-Llama8B-math-temp-0/step-300/step0300_test.jsonl	4000	ok
GRPO-Llama8B-math-temp-0	step-350	artifacts/results/GRPO-Llama8B-math-temp-0/step-350/step0350_test.jsonl	4000	ok
GRPO-Llama8B-math-temp-0	step-400	artifacts/results/GRPO-Llama8B-math-temp-0/step-400/step0400_test.jsonl	4000	ok
GRPO-Llama8B-math-temp-0	step-450	artifacts/results/GRPO-Llama8B-math-temp-0/step-450/step0450_test.jsonl	3840	incomplete
GRPO-Llama8B-math-temp-0	step-500	artifacts/results/GRPO-Llama8B-math-temp-0/step-500/step0500_test.jsonl	3912	incomplete
GRPO-Llama8B-math-temp-0.05	step-0	artifacts/results/GRPO-Llama8B-math-temp-0.05/step-0/step0000_test.jsonl	4000	ok
GRPO-Llama8B-math-temp-0.05	step-50	artifacts/results/GRPO-Llama8B-math-temp-0.05/step-50/step0050_test.jsonl	2208	incomplete
GRPO-Llama8B-math-temp-0.05	step-100	artifacts/results/GRPO-Llama8B-math-temp-0.05/step-100/step0100_test.jsonl	1760	incomplete
GRPO-Llama8B-math-temp-0.05	step-150	artifacts/results/GRPO-Llama8B-math-temp-0.05/step-150/step0150_test.jsonl	1296	incomplete
GRPO-Llama8B-math-temp-0.05	step-200	artifacts/results/GRPO-Llama8B-math-temp-0.05/step-200/step0200_test.jsonl	1160	incomplete
GRPO-Llama8B-math-temp-0.05	step-250	artifacts/results/GRPO-Llama8B-math-temp-0.05/step-250/step0250_test.jsonl	840	incomplete
